Place,lat,lon,attribution,attribution_license,attribution_url
Orange,44.1371311,4.8078783,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranienbaum,51.7979734,12.4045328,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranienburg,52.7529379,13.2457591,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orléans,47.9027336,1.9086066,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Osnabruck,52.2719595,8.047635,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Osnabrück,52.2719595,8.047635,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Osterode,51.718274,10.257116,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ostrog,45.8563252,15.3770022,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paderborn,51.7177044,8.752653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pamiers,43.1147515,1.6082177,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paris,48.8534951,2.3483915,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peine,52.3217849,10.2349489,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peking,39.9057136,116.3912972,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pembroke,51.674083,-4.912419,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Petersburg,59.938732,30.316229,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peterwardein,45.2426175,19.8820073,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Philippsburg,49.2367495,8.4546679,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pinneberg,53.6558152,9.8016369,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plittersdorf,50.4995681,6.9096481,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Porto,41.1494512,-8.6107884,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Posen,50.6435158,11.6905074,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Potsdam,52.4009309,13.0591397,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pottendorf,48.1453578,15.4234938,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Prag,50.0874654,14.4212535,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pyrmont,51.982498,9.248401,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quedlinburg,51.7855428,11.1519933,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Raab,47.687609,17.6346815,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rantzau,53.78332935,9.829290758592013,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rappach,50.0655064,9.1442577,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rastatt,48.8574209,8.2088088,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ratzeburg,53.7011061,10.774288,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ravenna,44.4161414,12.2017617,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Regensburg,49.0195333,12.0974869,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rehburg,52.472159,9.226474,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Riga,56.9493977,24.1051846,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rijswijk,52.0446265,4.3188215,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rom,41.8933203,12.4829321,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rotterdam,51.9244424,4.47775,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint Cyr,49.4877114,-1.4194777,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint James,48.5232,-1.32375,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint-Germain,48.4324928,6.3386744,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salisbury,51.0690613,-1.7954134,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salzburg,50.6667428,8.0474914,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salzdahlum,52.20291715,10.587637332989852,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schulenburg,52.4419685,9.6734712,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schwedt,53.0586366,14.2840858,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schönhausen,52.5824785,12.0378139,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Seesen,51.8905566,10.1703902,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sesto,46.7027433,12.350544,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shrewsbury,52.707755,-2.7540658,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Siebenbürgen,46.5971623,24.3740295,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Siena,43.3185536,11.3316533,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Singen,47.7617515,8.8348709,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Smyrna,38.4237433,27.1428019,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Soest,49.6242727,6.4610947,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sorbonne,48.850422,2.340548,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Spandau,52.5192672,13.195439,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stade,53.599794,9.475438,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
